6:09:07 PM [config] SESSION_SECRET is not set. Using local development secret.
6:09:07 PM [express] Server started in production mode on port 5000
6:09:07 PM [express] Static files: serving from dist/public
6:09:10 PM [express] POST /api/auth/register 200 in 88ms
6:09:10 PM [express] PATCH /api/social/profile 200 in 1ms
6:09:10 PM [express] GET /api/social/profile 200 in 2ms
6:15:14 PM [express] GET /api/auth/me 401 in 1ms :: Not authenticated
6:15:16 PM [express] POST /api/auth/login-email 401 in 1ms :: Invalid email or password
6:15:54 PM [express] POST /api/auth/register 200 in 67ms
6:15:54 PM [express] GET /api/news-events 200 in 1ms
6:15:54 PM [express] GET /api/social/profile 200 in 1ms
6:16:01 PM [express] PATCH /api/social/profile 200 in 1ms
6:16:01 PM [express] GET /api/social/profile 200 in 1ms
6:16:17 PM [express] POST /api/news-events 200 in 1ms
6:16:17 PM [express] GET /api/news-events 200 in 1ms
6:16:21 PM [express] POST /api/news-events 200 in 0ms
6:16:21 PM [express] GET /api/news-events 200 in 1ms
6:16:25 PM [express] POST /api/news-events 200 in 0ms
6:16:25 PM [express] GET /api/news-events 200 in 1ms
6:18:12 PM [express] GET /api/auth/me 200 in 1ms
6:18:12 PM [express] GET /api/news-events 304 in 1ms
6:18:12 PM [express] GET /api/social/profile 304 in 1ms
6:18:16 PM [express] POST /api/auth/logout 200 in 0ms
6:18:17 PM [express] POST /api/auth/login-email 200 in 114ms
6:18:19 PM [express] POST /api/auth/logout 200 in 1ms
6:18:21 PM [express] POST /api/auth/login-email 200 in 68ms
6:18:27 PM [express] DELETE /api/news-events/4d962718-cd9a-4604-a06c-0f6acfd992ed 200 in 2ms
6:18:27 PM [express] DELETE /api/news-events/313ae749-c053-4f6e-8af7-ba92e1043978 200 in 0ms
6:18:27 PM [express] DELETE /api/news-events/effb8e18-f03c-49fc-a065-8702c28ad00e 200 in 1ms
6:18:27 PM [express] GET /api/news-events 200 in 1ms
6:18:34 PM [express] PATCH /api/social/profile 200 in 1ms
6:18:34 PM [express] GET /api/social/profile 200 in 0ms
6:21:53 PM [express] PATCH /api/social/profile 200 in 1ms
6:21:53 PM [express] GET /api/social/profile 200 in 1ms
6:22:33 PM [express] POST /api/news-events 200 in 1ms
6:22:33 PM [express] GET /api/news-events 200 in 1ms
6:22:39 PM [express] DELETE /api/news-events/46813b84-4214-4808-acb1-36fc07ced80d 200 in 1ms
6:22:39 PM [express] GET /api/news-events 200 in 0ms
6:22:57 PM [express] POST /api/news-events 200 in 2ms
6:22:57 PM [express] GET /api/news-events 200 in 0ms
6:23:35 PM [express] POST /api/news-events 200 in 1ms
6:23:36 PM [express] GET /api/news-events 200 in 1ms
6:24:12 PM [express] PATCH /api/users/avatar 200 in 18ms
6:24:12 PM [express] GET /api/auth/me 200 in 13ms
6:24:22 PM [express] PATCH /api/social/profile 200 in 0ms
6:24:22 PM [express] GET /api/social/profile 200 in 0ms
6:24:46 PM [express] PATCH /api/social/profile 200 in 1ms
6:24:46 PM [express] GET /api/social/profile 200 in 1ms
6:25:36 PM [express] POST /api/news-events 200 in 1ms
6:25:36 PM [express] GET /api/news-events 200 in 1ms
6:26:04 PM [express] POST /api/news-events 200 in 1ms
6:26:04 PM [express] GET /api/news-events 200 in 0ms
6:27:46 PM [express] POST /api/auth/logout 200 in 0ms
6:27:48 PM [express] POST /api/auth/login-email 200 in 85ms
6:27:52 PM [express] GET /api/auth/me 304 in 15ms
6:27:52 PM [express] GET /api/news-events 304 in 1ms
6:27:52 PM [express] GET /api/social/profile 304 in 1ms
6:32:04 PM [express] GET /api/auth/me 304 in 18ms
6:32:04 PM [express] GET /api/news-events 304 in 1ms
6:32:04 PM [express] GET /api/social/profile 304 in 1ms
